counter_code,Island,Year Counted,Number,comment
1,LC,2006,1006,
1,LC,2010,972,
1,LC,2014,1086,
2,LC,2008,988,
2,LC,2014,1395,
2,LC,2009,411,
3,LC,2017,3491,
3,LC,2008,912,
3,LC,2005,1202,
4,LC,2005,1197,
4,LC,2008,970,
4,LC,2017,4883,
4,CB,2017,426,
5,LC,2008,1152,
5,LC,2009,1204,
5,LC,2014,3256,
6,LC,2010,1062,
6,LC,2012,2039,
6,LC,2013,2053,
6,CB,2017,317,
7,LC,2009,585,
7,LC,2009,547,
7,LC,2009,576,
7,LC,2012,930,
7,LC,2012,1080,
7,LC,2012,1044,
7,CB,2017,353,
7,CB,2017,292,
7,CB,2017,339,
7,LC,2013,1914,
7,LC,2013,1724,
7,LC,2013,1828,
8,LC,2008,1075,
8,LC,2017,4007,
8,LC,2005,1290,
9,LC,2010,634,
9,LC,2012,598,
9,LC,2013,757,
9,CB,2017,323,
10,LC,2006,1355,
10,LC,2005,937,
10,LC,2017,1669,
11,LC,2010,1408,
11,LC,2012,2051,
11,LC,2013,2394,
11,CB,2017,352,
12,LC,2016,1364,
12,LC,2010,1872,
12,LC,2017,3452,
12,LC,2005,2165,
13,LC,2017,5250,
13,LC,2006,2111,
13,LC,2005,755,
14,LC,2017,1604,
14,CB,2017,454,
14,LC,2008,202,
14,LC,2009,352,
14,LC,2012,987,
15,LC,2005,1190,
15,LC,2008,831,
15,CB,2017,406,
15,LC,2016,544,
15,LC,2014,2059,
15,LC,2006,1455,
15,LC,2017,3411,
15,LC,2013,2994,
15,LC,2012,1448,
15,LC,2010,845,
15,LC,2009,719,
15,CB,2008,366,
15,LC,2005,1613,30 min video
16,LC,2005,1528,
16,LC,2008,1182,
16,CB,2017,331,
16,LC,2016,680,
16,LC,2014,2733,
16,LC,2006,2225,
16,LC,2017,2584,
16,LC,2013,2401,
16,LC,2012,3003,
16,LC,2010,1271,
16,LC,2009,1080,
16,CB,2008,331,
16,LC,2005,1667,30 min video
17,LC,2017,1653,
18,CB,2008,132,
18,CB,2013,153,
19,CB,2008,362,
19,CB,2013,310,
19,CB,2017,498,
20,CB,2008,215,
20,CB,2013,250,
20,CB,2017,595,
21,CB,2018,734,
21,CB,2008,217,
21,CB,2013,232,
21,CB,2017,347,
22,CB,2008,415,
22,CB,2013,347,
22,CB,2017,408,
22,CB,2018,933,
22,LC,2018,3300,
22,LC,2015,3698,
23,CB,2018,846,
23,CB,2008,265,
24,CB,2008,266,
23,CB,2013,398,
24,CB,2013,260,
25,CB,2013,213,
23,CB,2017,371,
25,CB,2013,346,
25,CB,2017,220,
25,CB,2018,721,
23,LC,2015,1883,
23,LC,2018,4182,
21,LC,2018,5276,
24,CB,2017,216,
24,CB,2018,708,
26,LC,2018,5330,
26,LC,2015,2147,
27,LC,2018,4444,
24,LC,2018,2265,
24,LC,2015,2500,
28,CB,2008,263,
28,CB,2013,255,
28,CB,2017,268,
28,CB,2018,761,
28,LC,2018,3742,
28,LC,2015,2732,
29,CB,2008,205,
29,CB,2013,196,
29,CB,2018,540,
27,CB,2008,193,
27,CB,2013,264,
27,CB,2017,211,
27,CB,2018,727,
27,LC,2015,2695,
30,LC,2015,1875,
30,CB,2008,266,
30,CB,2013,344,
30,CB,2017,354,
30,CB,2018,1052,
30,LC,2018,5475,
31,CB,2013,254,
32,CB,2013,258,
31,CB,2008,188,
32,CB,2008,201,
33,CB,2018,553,12 minutes
34,CB,2018,872,12 minutes
35,CB,2018,625,5-10 minutes
36,CB,2018,637,10 minutes
37,CB,2018,742,8 minutes
38,CB,2018,986,20 minutes
39,CB,2018,814,10 min -
40,CB,2018,711,30 min
41,CB,2018,565,15-20 minutes
42,CB,2018,927,10 minutes
